ID	STRUCTURE	FREQUENCY	ChiapasZoque	LowlandMixe	NorthHighlandMixe	OlutaPopoluca	SanMiguelChimalapaZoque	SantaMariaChimalapaZoque	SayulaPopoluca	SoteapanZoque	SouthHighlandMixe	TexistepecZoque	COGNATESETS	CONCEPTS
63-14	v	14	ə	a	-	əː	ə	ə	ə	ə	-	ə	154:4, 184:3, 448:1, 851:6, 91:1, 165:1, 427:3, 439:1, 709:1, 709:5, 813:4, 150:1, 320:0, 325:1	CLAW / DRY / EAR / EAT / EYE / I / MOUNTAIN / MOUTH / NAME / THIS / WHO / YEAR
49-13	v	13	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	279:1, 37:1, 551:1, 146:1, 814:1, 62:1, 848:1, 848:3, 489:1, 59:1, 59:3, 278:1, 390:6	BIG / BLACK / BLOOD / DRY / HAIR / HAND / MAN / NOSE / SAY / WHO / YEAR
97-5	v	5	ə	əː	əː	əː	ə	ə	əː	ə	əː	ə	735:1, 445:1, 658:1, 713:2, 788:0	NAME / SUN / THIS / TOOTH / WE
141-5	v	5	ə	əː	ɨː	ə	ə	ə	i	ə	əː	əː	61:1, 388:1, 209:1, 42:1, 510:1	BIG / BLOOD / FIRE / MAN / PERSON
98-4	v	4	ə	əː	əː	əː	ə	ə	ə	ə	ə	-	776:1, 208:5, 197:5, 210:1	FAR / FIRE / WATER
121-4	v	4	ə	-	-	Ø	i	i	Ø	əː	a	əː	632:3, 857:4, 444:1, 267:1	GOOD / NAME / SNAKE / YELLOW
140-4	v	4	ə	i	ə	uː	Ø	ə	i	ə	ə	ə	56:1, 534:5, 455:1, 618:1	BLACK / NEAR / ROOT / SMALL
158-3	v	3	ə	a	aː	Ø	a	a	Ø	i	a	Ø	632:1, 332:1, 795:3	KILL / SNAKE / WHAT
66-2	v	2	ə	ə	a	ə	ə	ə	a	ə	ə	ə	206:1, 511:1	FEATHER / PERSON
122-2	v	2	ə	Ø	ɨː	Ø	ə	ə	əː	-	Ø	-	508:3, 587:1	ONE / SIT
147-2	v	2	ə	Ø	Ø	Ø	-	u	Ø	-	Ø	u	208:3, 140:3	DOG / FIRE
80-1	v	1	ə	Ø	Ø	Ø	ə	ə	Ø	i	Ø	Ø	488:3	NOSE
139-6	v	6	Ø	e	e	Ø	o	i	e	Ø	e	Ø	309:1, 470:1, 233:1, 693:1, 694:1, 184:1	EYE / FOOT / HEAVY / NEW / THIN
73-2	v	2	Ø	-	-	a	Ø	Ø	a	Ø	u	Ø	429:3, 522:3	MOUNTAIN / ROAD
114-2	v	2	Ø	oː	oː	oː	Ø	Ø	o	Ø	oː	Ø	806:1, 330:4	KILL / WHITE
124-2	v	2	Ø	ə	e	Ø	Ø	Ø	e	Ø	æ	Ø	191:1, 747:1	FAR / TWO
159-2	v	2	Ø	-	-	i	Ø	Ø	Ø	Ø	-	Ø	92:4, 244:2	CLAW / FULL
160-2	v	2	Ø	o	əː	Ø	Ø	Ø	oː	Ø	o	Ø	369:1, 93:1	CLAW / LIVER
164-2	v	2	Ø	Ø	ɛ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	122:1, 225:1	COME / FLY (MOVE THROUGH AIR)
167-2	v	2	Ø	Ø	iː	u	Ø	Ø	i	Ø	Ø	Ø	182:1, 618:3	EYE / SMALL
5-1	v	1	Ø	u	ʊː	uː	u	u	uː	u	uː	u	145:1	DRINK
14-1	v	1	Ø	u	ʊ	u	Ø	Ø	o	o	u	o	546:1	SAND
15-1	v	1	Ø	-	ʊ	ə	Ø	Ø	-	o	u	o	546:3	SAND
21-1	v	1	Ø	u	ʊ	Ø	u	Ø	Ø	uː	u	uː	269:1	GREEN
23-1	v	1	Ø	Ø	-	o	Ø	Ø	-	o	-	o	339:4	KNEE
36-1	v	1	Ø	-	o	a	Ø	Ø	-	Ø	o	Ø	423:3	MOON
37-1	v	1	Ø	u	-	-	Ø	Ø	-	Ø	u	Ø	509:3	ONE
39-1	v	1	Ø	a	a	aː	Ø	Ø	a	Ø	a	Ø	606:1	SLEEP
40-1	v	1	Ø	-	a	-	Ø	Ø	-	Ø	a	Ø	606:3	SLEEP
78-1	v	1	Ø	o	ə	o	Ø	Ø	o	Ø	Ø	Ø	253:1	GIVE
83-1	v	1	Ø	u	-	Ø	Ø	Ø	-	Ø	-	Ø	489:6	NOSE
85-1	v	1	Ø	a	a	Ø	Ø	Ø	aː	Ø	a	Ø	499:1	NOT
87-1	v	1	Ø	Ø	Ø	Ø	ə	Ø	Ø	o	əː	o	589:1	SIT
89-1	v	1	Ø	o	o	Ø	Ø	Ø	-	Ø	o	Ø	756:3	WALK
127-1	v	1	Ø	o	oː	Ø	Ø	Ø	o	Ø	Ø	Ø	133:0	DIE
128-1	v	1	Ø	o	-	Ø	Ø	Ø	-	Ø	Ø	Ø	133:2	DIE
129-1	v	1	Ø	e	u	Ø	Ø	Ø	Ø	Ø	æ	Ø	191:3	FAR
131-1	v	1	Ø	oː	ə	Ø	Ø	Ø	Ø	Ø	e	Ø	375:1	LONG
135-1	v	1	Ø	Ø	Ø	Ø	Ø	-	Ø	-	Ø	u	843:3	WORM
173-1	v	1	Ø	Ø	aː	Ø	Ø	Ø	Ø	Ø	-	Ø	390:1	MAN
174-1	v	1	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	ə	Ø	390:3	MAN
178-1	v	1	Ø	Ø	Ø	Ø	o	-	Ø	Ø	Ø	Ø	628:2	SMOKE (INHALE)
179-1	v	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	Ø	ə	673:1	SWIM
181-1	v	1	Ø	Ø	Ø	Ø	a	-	Ø	Ø	Ø	Ø	749:4	TWO
184-1	v	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	e	864:6	YELLOW
71-13	v	13	u	u	ʊ	u	u	u	u	u	u	u	677:1, 11:1, 736:1, 509:1, 860:1, 860:6, 857:1, 841:1, 841:3, 137:0, 669:1, 144:0, 616:1	ASH / DOG / DRINK / ONE / SMALL / SWIM / TAIL / TREE / WORM / YELLOW
93-12	v	12	u	uː	ʊː	uː	u	u	uː	u	u	u	516:1, 197:1, 197:3, 864:1, 864:3, 521:1, 208:1, 21:1, 72:1, 140:1, 236:5, 343:1	BARK / BREAST / DOG / FAR / FIRE / FOOT / KNOW / RAIN (PRECIPITATION) / ROAD / YELLOW
116-5	v	5	u	a	ə	Ø	u	u	uː	uː	a	u	572:1, 508:1, 711:1, 711:3, 843:1	ONE / SEED / THIS / WORM
61-2	v	2	u	u	ʊː	u	u	Ø	u	u	u	u	479:1, 522:1	NIGHT / ROAD
119-2	v	2	u	əː	ə	Ø	u	u	əː	ə	ə	Ø	321:0, 91:4	CLAW / I
168-1	v	1	u	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	21:4	BARK
62-13	v	13	o	o	u	o	o	o	o	oː	ə	o	284:1, 805:3, 213:1, 300:3, 427:1, 454:1, 469:1, 83:5, 255:1, 174:1, 174:3, 80:1, 838:1	BURN (SOMETHING) / EGG / FISH / GIVE / HEAD / HEART / MOUNTAIN / NEAR / NEW / WHITE / WORM
58-12	v	12	o	o	o	o	-	o	o	oː	o	oː	339:1, 579:1, 624:1, 423:1, 359:1, 359:3, 455:4, 756:1, 200:0, 464:1, 824:1, 628:0	FAT (FROM ANIMALS) / KNEE / LIE (REST) / MOON / NEAR / NECK / SHORT / SMOKE (INHALE) / WALK / WIND
107-9	v	9	o	oː	oː	oː	o	o	oː	o	oː	o	729:1, 44:1, 805:1, 92:1, 373:3, 135:0, 329:5, 610:1, 82:1	BIRD / BURN (SOMETHING) / CLAW / DIE / KILL / LIVER / SLEEP / TONGUE / WHITE
112-6	v	6	o	o	o	o	o	o	o	oː	e	oː	261:0, 829:1, 300:1, 429:1, 373:1, 422:1	GOOD / HEART / LIVER / MOON / MOUNTAIN / WOMAN
104-2	v	2	o	-	u	o	o	o	a	Ø	oː	Ø	290:3, 511:3	HEAR / PERSON
24-1	v	1	o	-	a	o	Ø	o	Ø	Ø	-	Ø	579:3	SHORT
25-1	v	1	o	Ø	-	o	Ø	Ø	Ø	o	-	-	624:3	SMOKE (INHALE)
42-1	v	1	o	Ø	Ø	Ø	aː	ə	Ø	o	Ø	a	829:3	WOMAN
64-16	v	16	i	i	i	i	i	i	i	i	e	e	561:2, 120:1, 252:1, 414:1, 131:1, 850:1, 850:3, 755:1, 448:3, 851:3, 813:1, 843:5, 42:3, 143:1, 538:1, 694:3	BIG / COME / DOG / GIVE / MEAT / NAME / ROUND / SEE / THIN / WALK / WHO / WORM / YEAR
153-8	v	8	i	u	u	i	i	i	i	i	u	a	61:5, 415:1, 415:3, 171:1, 171:3, 112:1, 150:5, 314:7	BLOOD / COLD / DRY / EGG / HEAVY / MEAT
143-4	v	4	i	iː	i	iː	-	i	iː	i	eː	Ø	719:1, 180:1, 72:4, 703:1	BREAST / EYE / THIN / THOU
108-3	v	3	i	i	i	i	i	i	i	iː	iː	e	796:1, 488:1, 534:2	NOSE / ROOT / WHAT
