ID	STRUCTURE	FREQUENCY	ChiapasZoque	LowlandMixe	NorthHighlandMixe	OlutaPopoluca	SanMiguelChimalapaZoque	SantaMariaChimalapaZoque	SayulaPopoluca	SoteapanZoque	SouthHighlandMixe	TexistepecZoque	COGNATESETS	CONCEPTS
182-1	v	1	i	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	795:1	WHAT
101-8	v	8	e	e	e	e	e	e	e	eː	ə	e	639:1, 426:1, 426:3, 749:1, 29:1, 213:4, 308:1, 745:1	BELLY / FISH / HEAVY / MOON / STAND / TWO
138-3	v	3	e	eː	u	u	Ø	e	eː	e	u	e	50:1, 224:1, 244:0	BITE / FLY (MOVE THROUGH AIR) / FULL
146-3	v	3	e	-	-	a	e	e	-	i	-	aː	261:2, 469:3, 319:1	GOOD / HORN (ANATOMY) / NEW
152-3	v	3	e	i	ɨ	e	e	e	-	Ø	Ø	Ø	308:3, 454:3, 737:1	HEAVY / NEAR / TREE
30-41	v	41	a	a	a	a	a	a	a	a	a	a	71:1, 517:1, 114:1, 114:3, 236:1, 628:4, 749:8, 851:1, 646:3, 143:4, 314:1, 461:1, 461:3, 132:1, 315:1, 384:4, 21:7, 21:9, 368:1, 83:1, 634:1, 634:3, 214:0, 319:3, 357:1, 380:1, 380:3, 520:1, 520:4, 22:0, 110:1, 387:2, 471:1, 587:3, 767:0, 54:1, 329:1, 332:5, 510:5, 575:1, 703:3	BARK / BITE / BONE / BURN (SOMETHING) / COLD / DIE / DOG / FISH / FOOT / HEAVY / HORN (ANATOMY) / KILL / LEAF / LIVER / LONG / LOUSE / NEAR / NEW / PERSON / RED / SEED / SIT / SMOKE (INHALE) / SNAKE / STAR / THIN / TWO / WARM / YEAR
48-7	v	7	a	ə	aː	aː	a	a	aː	aː	a	aː	154:1, 646:1, 657:1, 823:1, 530:1, 631:1, 608:1	EAR / ROOT / SLEEP / SNAKE / STAR / SUN / WIND
60-6	v	6	a	-	-	a	a	a	-	a	-	-	544:3, 657:3, 823:3, 200:2, 422:3, 745:3	FAT (FROM ANIMALS) / MOON / SALT / SUN / TWO / WIND
57-5	v	5	a	aː	aː	aː	a	a	a	a	a	a	656:1, 11:5, 277:1, 387:0, 355:0	ASH / HAIR / LEAF / LOUSE / STONE
106-5	v	5	a	-	-	ə	a	a	a	a	-	e	517:3, 596:3, 471:3, 693:3, 701:3	NEW / RED / SKIN / THIN
120-5	v	5	a	a	a	a	a	a	a	aː	æ	aː	166:1, 596:1, 397:1, 597:1, 330:1	EAT / KILL / MANY / SKIN
65-4	v	4	a	aː	aː	aː	a	a	aː	a	aː	aː	155:1, 275:1, 384:2, 701:1	EARTH (SOIL) / HAIR / LOUSE / THIN
94-3	v	3	a	a	a	a	a	i	a	a	aː	ə	284:4, 14:1, 325:3	ASH / HEAD / I
45-2	v	2	a	aː	a	i	-	Ø	a	-	æ	Ø	639:3, 713:0	STAND / THIS
102-2	v	2	a	aː	Ø	a	-	a	Ø	a	aː	Ø	353:0, 749:6	LEAF / TWO
103-2	v	2	a	Ø	o	o	a	a	i	a	ə	Ø	290:1, 110:3	COLD / HEAR
4-1	v	1	a	aː	aː	aː	a	a	aː	aː	aː	aː	544:1	SALT
20-1	v	1	a	-	-	Ø	Ø	Ø	-	-	-	Ø	37:3	BIG
2-15	v	15	-	-	-	ə	-	-	-	-	-	-	71:4, 516:3, 656:3, 735:4, 776:3, 155:3, 206:4, 729:4, 353:2, 736:3, 209:3, 278:4, 14:3, 575:3, 703:5	ASH / BONE / EARTH (SOIL) / FEATHER / FIRE / HAIR / LEAF / RAIN (PRECIPITATION) / SEED / STONE / THIN / TONGUE / TOOTH / TREE / WATER
51-3	v	3	-	-	ə	-	Ø	-	-	-	ə	-	279:3, 253:3, 62:3	BLOOD / GIVE / HAND
68-3	v	3	-	-	-	Ø	-	-	-	i	-	-	561:0, 444:3, 461:5	NAME / NEAR / SEE
47-2	v	2	-	Ø	-	-	-	-	-	ə	Ø	ə	61:3, 165:3	BLOOD / EAT
52-2	v	2	-	-	a	a	-	-	-	-	-	-	677:5, 499:3	NOT / TAIL
13-1	v	1	-	Ø	-	ə	-	Ø	-	u	Ø	-	479:3	NIGHT
26-1	v	1	-	Ø	-	Ø	-	-	Ø	-	a	Ø	646:5	STAR
31-1	v	1	-	Ø	u	-	Ø	Ø	Ø	Ø	u	-	50:3	BITE
32-1	v	1	-	ə	ə	ə	Ø	Ø	Ø	Ø	ə	Ø	146:3	DRY
34-1	v	1	-	Ø	-	a	Ø	Ø	-	Ø	-	Ø	315:3	HORN (ANATOMY)
35-1	v	1	-	Ø	Ø	Ø	-	-	-	a	Ø	Ø	384:0	LOUSE
76-1	v	1	-	Ø	Ø	Ø	Ø	o	Ø	-	Ø	-	165:6	EAT
169-1	v	1	-	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	72:6	BREAST
70-23	c	23	ʔ	-	-	h	ʔ	ʔ	ʔ	-	h	ʔ	656:2, 776:2, 140:2, 426:4, 628:1, 628:5, 749:7, 143:5, 314:2, 314:8, 864:7, 150:6, 319:4, 357:0, 42:4, 325:4, 72:2, 368:2, 510:6, 838:2, 373:4, 694:4, 709:2	BIG / BREAST / DOG / DRY / HEAVY / HORN (ANATOMY) / I / LEAF / LIVER / MOON / PERSON / SMOKE (INHALE) / STONE / THIN / THIS / TWO / WATER / WORM / YELLOW
44-20	c	20	ʔ	ʔ	ʔ	ʔ	-	ʔ	ʔ	-	ʔ	ʔ	279:2, 423:2, 509:2, 50:2, 146:2, 253:2, 756:2, 857:2, 62:2, 359:2, 114:4, 236:6, 133:1, 415:2, 464:2, 21:2, 131:2, 171:2, 520:5, 711:2	BARK / BITE / BLOOD / COLD / COME / DIE / DRY / EGG / FOOT / GIVE / HAND / LIE (REST) / MEAT / MOON / NECK / ONE / RED / THIS / WALK / YELLOW
53-10	c	10	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	677:2, 546:2, 132:2, 252:2, 165:2, 530:2, 843:2, 860:2, 329:4, 332:6	DIE / EAT / GIVE / KILL / ROOT / SAND / TAIL / WORM / YELLOW
117-6	c	6	ʔ	-	-	ʔ	ʔ	-	-	ʔ	-	ʔ	561:1, 197:2, 461:2, 673:2, 864:2, 860:7	FAR / NEAR / SEE / SWIM / YELLOW
151-4	c	4	ʔ	w	ʔ	ʔ	-	ʔ	-	ʔ	h	ʔ	61:2, 387:3, 390:2, 455:0	BLOOD / LOUSE / MAN / NEAR
92-2	c	2	ʔ	h	-	h	ʔ	Ø	ʔ	ʔ	h	ʔ	479:2, 209:0	FIRE / NIGHT
118-2	c	2	ʔ	Ø	h	h	ʔ	-	h	-	h	Ø	315:2, 91:2	CLAW / HORN (ANATOMY)
133-8	c	8	ŋ	-	-	v	ŋ	ŋ	w	ŋ	-	ŋ	511:4, 290:4, 521:2, 236:2, 749:9, 80:2, 610:2, 850:2	BURN (SOMETHING) / FOOT / HEAR / PERSON / ROAD / SLEEP / TWO / YEAR
136-5	c	5	Ø	-	k	k	-	Ø	k	-	k	-	269:3, 429:5, 534:3, 329:7, 616:3	GREEN / KILL / MOUNTAIN / ROOT / SMALL
163-5	c	5	Ø	g	k	k	Ø	Ø	g	g	k	Ø	191:2, 330:2, 59:2, 380:2, 455:3	BLACK / FAR / KILL / LONG / NEAR
105-3	c	3	Ø	Ø	Ø	Ø	n	Ø	Ø	ɲ	n	n	589:2, 314:6, 461:4	HEAVY / NEAR / SIT
155-3	c	3	Ø	ʔ	ʔ	v	Ø	Ø	h	Ø	ʔ	w	499:2, 387:1, 93:2	CLAW / LOUSE / NOT
46-2	c	2	Ø	-	-	-	Ø	Ø	j	j	-	j	546:4, 471:4	NEW / SAND
59-2	c	2	Ø	ʔ	ʔ	h	h	h	ʔ	Ø	ʔ	Ø	606:2, 632:2	SLEEP / SNAKE
109-2	c	2	Ø	-	-	Ø	Ø	Ø	-	Ø	t	Ø	499:4, 711:4	NOT / THIS
115-2	c	2	Ø	-	ʔ	-	Ø	Ø	ʔ	Ø	-	Ø	806:2, 330:5	KILL / WHITE
123-2	c	2	Ø	Ø	Ø	tʃ	Ø	Ø	tʃ	Ø	Ø	Ø	618:0, 618:2	SMALL
125-2	c	2	Ø	-	-	Ø	Ø	Ø	Ø	Ø	j	Ø	415:5, 359:5	LIE (REST) / MEAT
22-1	c	1	Ø	Ø	-	-	Ø	Ø	k	-	-	-	339:3	KNEE
82-1	c	1	Ø	p	-	Ø	Ø	Ø	-	Ø	-	Ø	489:5	NOSE
84-1	c	1	Ø	t	-	Ø	Ø	Ø	-	Ø	-	Ø	489:7	NOSE
86-1	c	1	Ø	ʔ	ʔ	ʔʷ	Ø	Ø	Ø	Ø	-	Ø	522:4	ROAD
88-1	c	1	Ø	-	-	Ø	Ø	Ø	-	Ø	Ø	d	597:0	SKIN
90-1	c	1	Ø	b	p	Ø	Ø	Ø	p	Ø	p	Ø	806:3	WHITE
126-1	c	1	Ø	j	Ø	-	Ø	Ø	Ø	Ø	j	Ø	92:3	CLAW
130-1	c	1	Ø	Ø	Ø	j	Ø	Ø	-	Ø	-	Ø	330:0	KILL
132-1	c	1	Ø	Ø	t	Ø	Ø	Ø	-	Ø	t	Ø	464:4	NECK
134-1	c	1	Ø	Ø	-	Ø	w	w	Ø	Ø	Ø	Ø	530:0	ROOT
170-1	c	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ʃ	Ø	s	314:4	HEAVY
171-1	c	1	Ø	Ø	Ø	Ø	Ø	tsː	Ø	Ø	Ø	ts	325:2	I
172-1	c	1	Ø	Ø	j	Ø	Ø	Ø	Ø	Ø	-	Ø	390:0	MAN
175-1	c	1	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	p	Ø	470:3	NEW
110-16	c	16	w	w	v	v	w	w	w	w	w	w	275:0, 315:0, 384:3, 755:0, 823:2, 114:0, 184:0, 267:0, 701:0, 180:0, 277:0, 813:3, 42:0, 54:0, 182:0, 319:0	BIG / BITE / COLD / EYE / GOOD / HAIR / HORN (ANATOMY) / LOUSE / THIN / WALK / WHO / WIND
180-1	c	1	w	Ø	Ø	Ø	Ø	p	Ø	Ø	Ø	Ø	709:4	THIS
144-3	c	3	tʃ	Ø	Ø	-	ts	ts	tʃ	tʃ	Ø	tʃ	252:0, 534:4, 618:4	GIVE / ROOT / SMALL
74-1	c	1	tʃ	Ø	Ø	Ø	ts	ts	Ø	ts	Ø	Ø	91:3	CLAW
8-34	c	34	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	154:2, 656:0, 735:3, 517:0, 729:3, 479:0, 269:0, 646:2, 29:0, 300:0, 50:4, 632:0, 373:0, 843:0, 308:5, 427:2, 857:3, 72:0, 72:3, 415:0, 530:3, 587:0, 631:0, 150:2, 244:1, 314:0, 380:4, 520:0, 616:2, 634:0, 745:2, 749:2, 788:1, 122:3	BELLY / BITE / BREAST / COME / DRY / EAR / FULL / GREEN / HEART / HEAVY / LIVER / LONG / MEAT / MOUNTAIN / NIGHT / RED / ROOT / SIT / SMALL / SNAKE / STAR / STONE / TONGUE / TOOTH / TWO / WE / WORM / YELLOW
142-3	c	3	ts	ts	ts	s	ts	Ø	tʃ	k	ts	k	146:5, 589:0, 747:3	DRY / SIT / TWO
11-1	c	1	ts	Ø	t	t	ts	ts	ts	ts	Ø	ts	677:4	TAIL
7-34	c	34	t	t	t	t	t	t	t	t	t	t	154:0, 516:0, 735:0, 639:0, 729:0, 677:0, 796:0, 508:0, 521:0, 290:2, 146:0, 384:5, 509:0, 208:4, 454:0, 522:0, 83:4, 850:5, 171:0, 171:4, 184:2, 851:5, 838:0, 838:3, 233:0, 369:3, 387:4, 150:0, 368:3, 390:4, 461:0, 795:0, 848:5, 82:0	BURN (SOMETHING) / DRY / EAR / EGG / EYE / FIRE / FOOT / HEAR / LIVER / LOUSE / MAN / NEAR / ONE / RAIN (PRECIPITATION) / ROAD / STAND / TAIL / TONGUE / TOOTH / WHAT / WORM / YEAR
161-3	c	3	t	Ø	Ø	t	t	t	t	t	Ø	tʃ	755:3, 534:0, 42:2	BIG / ROOT / WALK
100-14	c	14	s	ʃ	ʃ	ʃ	ʃ	s	ʃ	ʃ	ʃ	ʃ	561:3, 414:0, 414:2, 214:3, 112:0, 112:2, 92:0, 343:3, 445:0, 93:0, 309:4, 426:0, 658:0, 850:0	CLAW / COLD / FISH / HEAVY / KNOW / MEAT / MOON / NAME / SEE / SUN / YEAR
50-7	c	7	s	ʃ	ʃ	ʃ	ʃ	s	ʃ	s	ʃ	s	155:2, 269:2, 339:2, 91:5, 165:4, 823:0, 54:2	BITE / CLAW / EARTH (SOIL) / EAT / GREEN / KNEE / WIND
113-4	c	4	s	ts	ts	s	ts	ts	ts	ts	s	ts	517:4, 860:3, 860:8, 520:6	RED / YELLOW
17-37	c	37	p	p	p	p	p	p	p	p	p	p	71:0, 206:0, 61:4, 546:0, 572:0, 423:0, 814:0, 805:0, 805:2, 489:3, 806:0, 143:3, 673:0, 864:0, 860:0, 860:5, 388:0, 429:2, 439:2, 857:0, 62:4, 538:0, 80:0, 368:0, 174:0, 426:2, 110:0, 278:0, 422:0, 693:0, 824:0, 510:0, 520:3, 575:0, 694:0, 737:2, 703:2	BLOOD / BONE / BURN (SOMETHING) / COLD / DOG / EGG / FEATHER / HAIR / LIVER / MAN / MOON / MOUNTAIN / MOUTH / NOSE / PERSON / RED / ROUND / SAND / SEED / SWIM / THIN / TREE / WHITE / WHO / WIND / YELLOW
6-1	c	1	p	w	v	p	p	Ø	p	b	p	p	284:3	HEAD
10-1	c	1	p	p	p	Ø	p	p	b	b	p	Ø	517:2	RED
19-31	c	31	n	n	n	n	n	n	n	n	n	n	544:2, 776:0, 155:0, 61:0, 44:2, 551:0, 579:2, 632:4, 814:2, 62:0, 455:2, 455:5, 140:0, 448:0, 851:4, 375:2, 767:1, 131:3, 634:2, 182:3, 210:3, 180:2, 200:1, 209:2, 471:0, 587:2, 669:2, 21:6, 444:0, 673:3, 703:0	BARK / BIRD / BLOOD / COME / DOG / EARTH (SOIL) / EYE / FAT (FROM ANIMALS) / FIRE / LONG / NAME / NEAR / NEW / SALT / SAY / SHORT / SIT / SNAKE / SWIM / THIN / WARM / WATER / WHO / YEAR
29-8	c	8	n	n	n	n	n	n	n	ɲ	n	ɲ	120:2, 639:2, 61:7, 388:2, 488:2, 631:2, 843:6, 510:2	BLOOD / COME / MAN / NOSE / PERSON / SNAKE / STAND / WORM
38-1	c	1	n	Ø	Ø	-	n	n	Ø	n	Ø	Ø	596:0	SKIN
18-39	c	39	m	m	m	m	m	m	m	m	m	m	120:0, 508:2, 657:2, 829:2, 719:0, 184:4, 236:0, 628:3, 749:0, 851:2, 11:7, 37:0, 290:0, 551:2, 646:0, 309:3, 470:2, 616:0, 848:2, 606:0, 131:0, 255:0, 608:0, 253:0, 308:2, 397:0, 454:2, 469:2, 143:2, 197:4, 191:4, 343:0, 471:2, 747:0, 14:2, 610:0, 745:0, 841:2, 122:0	ASH / BIG / COME / DOG / EYE / FAR / FOOT / GIVE / HEAR / HEAVY / KNOW / MANY / NEAR / NEW / ONE / SAY / SLEEP / SMALL / SMOKE (INHALE) / STAR / SUN / THOU / TWO / WOMAN / WORM / YEAR
177-1	c	1	m	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	510:7	PERSON
1-67	c	67	k	k	k	k	k	k	k	k	k	k	71:3, 154:5, 544:0, 284:0, 284:6, 145:2, 279:0, 206:3, 56:3, 166:0, 509:4, 224:0, 224:3, 11:0, 339:0, 579:0, 624:2, 736:0, 29:2, 300:2, 91:0, 488:0, 165:0, 208:2, 213:0, 213:3, 214:2, 499:0, 427:0, 427:4, 132:0, 596:2, 359:0, 359:4, 538:3, 137:1, 233:2, 464:3, 747:4, 429:0, 597:2, 21:0, 21:8, 59:5, 83:2, 174:5, 236:4, 332:2, 332:4, 22:1, 92:2, 110:4, 133:3, 278:3, 330:6, 534:6, 843:4, 93:3, 135:1, 144:2, 314:3, 329:2, 390:8, 575:2, 737:0, 841:0, 703:4	ASH / BARK / BELLY / BLACK / BONE / BURN (SOMETHING) / CLAW / COLD / DIE / DOG / DRINK / EAR / EAT / EGG / FEATHER / FIRE / FISH / FLY (MOVE THROUGH AIR) / FOOT / HAIR / HAND / HEAD / HEART / HEAVY / KILL / KNEE / LIE (REST) / MAN / MOUNTAIN / NECK / NOSE / NOT / ONE / ROOT / ROUND / SALT / SEED / SHORT / SKIN / SMOKE (INHALE) / THIN / TREE / TWO / WORM
137-3	c	3	k	tʃ	ts	ts	-	Ø	ts	tʃ	ts	k	50:0, 321:1, 150:4	BITE / DRY / I
156-2	c	2	k	Ø	Ø	Ø	Ø	k	j	g	Ø	k	110:2, 373:2	COLD / LIVER
77-1	c	1	k	Ø	Ø	Ø	Ø	-	Ø	-	Ø	-	208:6	FIRE
28-39	c	39	j	j	j	j	j	j	j	j	j	j	56:0, 397:2, 756:0, 756:4, 11:2, 261:1, 353:1, 736:2, 59:0, 83:6, 255:2, 634:5, 166:2, 275:2, 829:0, 114:2, 114:5, 236:7, 390:5, 711:0, 444:2, 795:2, 277:3, 375:0, 422:2, 464:0, 511:2, 669:0, 693:4, 82:2, 225:3, 21:3, 329:0, 355:2, 357:2, 380:0, 701:2, 709:0, 713:1	ASH / BARK / BLACK / BURN (SOMETHING) / COLD / EAT / FLY (MOVE THROUGH AIR) / FOOT / GIVE / GOOD / HAIR / KILL / LEAF / LONG / MAN / MANY / MOON / NAME / NECK / PERSON / SNAKE / SWIM / THIN / THIS / TREE / WALK / WHAT / WOMAN
91-10	c	10	j	j	-	j	-	-	-	-	j	Ø	639:4, 632:5, 62:5, 309:5, 470:4, 233:3, 375:3, 171:5, 737:3, 83:0	BLOOD / BURN (SOMETHING) / EGG / FOOT / HEAVY / LONG / NEW / SNAKE / STAND / TREE
157-4	c	4	j	Ø	-	Ø	j	j	-	j	Ø	-	300:5, 373:5, 534:1, 329:6	HEART / KILL / LIVER / ROOT
72-9	c	9	h	-	-	h	h	h	-	h	h	h	516:2, 657:0, 208:0, 439:0, 469:0, 14:0, 197:0, 448:2, 538:2	ASH / FAR / FIRE / MOUTH / NAME / NEW / RAIN (PRECIPITATION) / ROUND / SUN
27-6	c	6	h	h	h	h	h	h	h	h	h	h	572:2, 11:4, 37:2, 44:0, 624:0, 308:0	ASH / BIG / BIRD / HEAVY / SEED / SMOKE (INHALE)
111-6	c	6	h	Ø	-	-	-	-	ʔ	-	-	-	624:4, 213:5, 755:2, 343:2, 422:4, 144:1	DRINK / FISH / KNOW / MOON / SMOKE (INHALE) / WALK
