character,n.male,n.female
阿,277856,598454
啊,2726,5330
皑,392,640
蔼,1735,7691
霭,496,2499
艾,60098,247092
爱,1443486,8347869
叆,11,34
安,4610624,1114890
桉,4250,1711
谙,124,134
岸,22487,11265
昂,114849,10247
敖,17441,2114
遨,1107,130
熬,1475,105
翱,15014,1310
鳌,6121,128
傲,93106,33758
奥,124385,28948
骜,4052,423
澳,46028,10316
鏊,180,15
八,43674,38700
巴,41015,23492
粑,1,1
拔,667,96
白,80178,207742
百,276137,101455
佰,136942,39523
柏,820862,158797
拜,662,339
班,5120,2273
板,1220,2912
邦,673998,154210
帮,293280,125144
榜,63269,3175
包,5347,1998
薄,2067,611
宝,5172285,2127202
保,3517598,832890
葆,7780,5287
报,11204,860
抱,845,702
豹,86099,227
鲍,953,65
暴,120,34
杯,2766,1275
北,147648,24703
贝,86040,200807
备,26759,3003
倍,14784,18071
被,108,328
琲,244,1008
焙,977,769
蓓,7003,205658
奔,42332,4410
犇,15187,658
本,1096052,401865
笨,293,209
镚,16,0
比,5245,3339
彼,1446,138
必,335288,172516
毕,22837,13225
铋,46,28
弼,6039,391
碧,222613,2524623
壁,5184,2918
璧,3947,5419
边,5893,3025
卞,134,187
变,1927,102972
标,845697,10698
彪,967676,3401
飙,3459,90
镖,4281,108
镳,232,8
表,9342,1904
苾,47,297
邠,3,0
玢,952,3973
宾,508910,42041
彬,3332598,471470
斌,4814830,243107
滨,425603,55294
缤,2195,2275
槟,10546,1806
镔,9625,895
膑,1096,179
冰,444612,920261
兵,4454868,242185
丙,473169,184529
邴,55,5
秉,204130,34801
柄,15255,1392
炳,1598317,336561
卜,21735,12990
波,5517079,1119504
玻,2612,442
菠,4139,2508
伯,542519,139798
泊,23534,5210
勃,65383,7933
铂,6765,1161
博,2060262,283098
渤,19131,2385
搏,16639,1463
擘,1314,241
布,41532,13806
步,144816,41060
部,1241,135
才,4335195,456247
材,57873,1548
财,1755371,80700
裁,92,26
采,10037,66793
彩,321983,4929244
菜,599,28378
蔡,3451,3272
参,22501,10045
灿,740373,292290
粲,2433,2989
璨,10272,22151
仓,188522,5293
苍,26699,2560
沧,4272,177
藏,4772,13635
操,27569,2056
曹,9625,2641
草,11736,41840
策,98477,10271
岑,34318,42598
涔,978,1674
层,2836,8086
曾,49232,26881
茶,3637,134544
查,4782,4995
钗,4718,101717
柴,540,473
婵,3343,548106
禅,1512,1842
蝉,1942,16197
潺,1283,1684
产,14627,1300
昌,4834799,996487
尝,658,628
常,556042,233275
偿,219,342
嫦,299,159246
长,5015722,1536700
厂,20146,321
场,5377,159
昶,45506,4728
畅,181748,187418
唱,3938,8307
怊,8,9
钞,3701,586
绰,914,681
超,5289288,838488
焯,33321,5146
晁,1791,165
巢,393,124
朝,2802255,1103856
潮,223546,16760
车,6405,7427
彻,3050,313
澈,4344,2059
郴,2501,819
琛,177680,86023
臣,1315806,62211
尘,14800,6299
辰,399521,159184
沉,2877,5044
忱,36516,8383
陈,215129,187502
宸,107931,30533
晨,1136672,815879
谌,682,308
趁,6586,28576
琤,1429,3210
称,7219,6199
成,11279627,2009329
丞,54955,3717
呈,93865,28348
枨,411,90
诚,536683,43602
承,1067757,314925
城,742645,38616
宬,1073,264
埕,583,106
乘,11959,2344
珵,369,629
铖,61995,6562
程,758016,179524
澄,51459,21985
橙,6286,6991
骋,14630,2136
池,231479,89236
弛,16315,4568
驰,149894,23612
迟,7189,3961
墀,293,82
赤,5377,6294
炽,31042,1951
冲,342204,46518
充,6774,1195
翀,25201,6308
憧,785,647
虫,911,1052
崇,655729,200477
宠,4788,2097
铳,210,16
仇,408,218
俦,148,60
畴,1914,153
酬,379,247
筹,1439,311
初,417347,85158
杵,343,79
础,2529,412
储,5238,1190
楚,335756,360955
褚,292,231
川,1118609,148579
传,2614816,1102966
串,2701,6409
闯,237688,10305
