,TAG,UNITE,DESCRIPTION,MIN,MAX,TYPE
84,C00000001-A003-1-kW L1-JTW,kW,Altitude commerciale (la conserverie) L1 puissance,,,
85,C00000001-A003-1-kW L2-JTW,kW,Altitude commerciale (la conserverie) L2 puissance,,,
86,C00000001-A003-1-kW L3-JTW,kW,Altitude commerciale (la conserverie) L3 puissance,,,
87,C00000001-A003-1-kW dmd-JTW,kW,Altitude commerciale (la conserverie) puissance demandée,,,
88,C00000001-A003-1-kW sys-JTW,kW,Altitude commerciale (la conserverie) puissance,,,
89,C00000001-A003-1-kWh (-)-JTWH,kWh,Altitude commerciale (la conserverie) quezaco2,,,
90,C00000001-A003-1-kWh L1-JTWH,kWh,Altitude commerciale (la conserverie) L1 energie,,,
91,C00000001-A003-1-kWh L2-JTWH,kWh,Altitude commerciale (la conserverie) L2 energie,,,
92,C00000001-A003-1-kWh L3-JTWH,kWh,Altitude commerciale (la conserverie) L3 energie,,,
93,C00000001-A003-1-kWh-JTWH,kWh,Altitude commerciale (la conserverie) energie,,,
94,C00000001-A003-1-kvar L1-JTVar,kvar,Altitude commerciale (la conserverie) L1 puissance reactive,,,
95,C00000001-A003-1-kvar L2-JTVar,kvar,Altitude commerciale (la conserverie) L2 puissance reactive,,,
96,C00000001-A003-1-kvar L3-JTVar,kvar,Altitude commerciale (la conserverie) L3 puissance reactive,,,
97,C00000001-A003-1-kvar sys-JTVar,kvar,Altitude commerciale (la conserverie) puissance reactive,,,
98,C00000001-A003-1-kWh (-)-JTWH,kWh,Altitude commerciale (la conserverie) quezaco3,,,
99,C00000001-A003-1-kvarh-JTVarH,kvarh,Altitude commerciale (la conserverie) quezaco4,,,
100,C00000002-B007-2-kVA L1-JTVA,kVA,Sibuet atelier (hall à billettes) L1 puissance active,,,
101,C00000002-B007-2-kVA L2-JTVA,kVA,Sibuet atelier (hall à billettes) L2 puissance active,,,
102,C00000002-B007-2-kVA L3-JTVA,kVA,Sibuet atelier (hall à billettes) L3 puissance active,,,
103,C00000002-B007-2-kVA sys-JTVA,kVA,Sibuet atelier (hall à billettes) puissance active,,,
104,C00000002-B007-2-kW L1-JTW,kW,Sibuet atelier (hall à billettes) L1 puissance,,,
105,C00000002-B007-2-kW L2-JTW,kW,Sibuet atelier (hall à billettes) L2 puissance,,,
106,C00000002-B007-2-kW L3-JTW,kW,Sibuet atelier (hall à billettes) L3 puissance,,,
107,C00000002-B007-2-kW dmd-JTW,kW,Sibuet atelier (hall à billettes) puissance demandée,,,
108,C00000002-B007-2-kW sys-JTW,kW,Sibuet atelier (hall à billettes) puissance,,,
109,C00000002-B007-2-kWh (-)-JTWH,kWh,Sibuet atelier (hall à billettes) quezaco2,,,
110,C00000002-B007-2-kWh L1-JTWH,kWh,Sibuet atelier (hall à billettes) L1 energie,,,
111,C00000002-B007-2-kWh L2-JTWH,kWh,Sibuet atelier (hall à billettes) L2 energie,,,
112,C00000002-B007-2-kWh L3-JTWH,kWh,Sibuet atelier (hall à billettes) L3 energie,,,
113,C00000002-B007-2-kWh-JTWH,kWh,Sibuet atelier (hall à billettes) energie,,,
114,C00000002-B007-2-kvar L1-JTVar,kvar,Sibuet atelier (hall à billettes) L1 puissance reactive,,,
115,C00000002-B007-2-kvar L2-JTVar,kvar,Sibuet atelier (hall à billettes) L2 puissance reactive,,,
116,C00000002-B007-2-kvar L3-JTVar,kvar,Sibuet atelier (hall à billettes) L3 puissance reactive,,,
117,C00000002-B007-2-kvar sys-JTVar,kvar,Sibuet atelier (hall à billettes) puissance reactive,,,
118,C00000002-B007-2-kWh (-)-JTWH,kWh,Sibuet atelier (hall à billettes) quezaco3,,,
119,C00000002-B007-2-kvarh-JTVarH,kvarh,Sibuet atelier (hall à billettes) quezaco4,,,
120,C00000003-B001-3-kVA L1-JTVA,kVA,Sylfen L1 puissance active,,,
121,C00000003-B001-3-kVA L2-JTVA,kVA,Sylfen L2 puissance active,,,
122,C00000003-B001-3-kVA L3-JTVA,kVA,Sylfen L3 puissance active,,,
123,C00000003-B001-3-kVA sys-JTVA,kVA,Sylfen puissance active,,,
124,C00000003-B001-3-kW L1-JTW,kW,Sylfen L1 puissance,,,
125,C00000003-B001-3-kW L2-JTW,kW,Sylfen L2 puissance,,,
126,C00000003-B001-3-kW L3-JTW,kW,Sylfen L3 puissance,,,
127,C00000003-B001-3-kW dmd-JTW,kW,Sylfen puissance demandée,,,
128,C00000003-B001-3-kW sys-JTW,kW,Sylfen puissance,,,
129,C00000003-B001-3-kWh (-)-JTWH,kWh,Sylfen quezaco2,,,
130,C00000003-B001-3-kWh L1-JTWH,kWh,Sylfen L1 energie,,,
131,C00000003-B001-3-kWh L2-JTWH,kWh,Sylfen L2 energie,,,
132,C00000003-B001-3-kWh L3-JTWH,kWh,Sylfen L3 energie,,,
133,C00000003-B001-3-kWh-JTWH,kWh,Sylfen energie,,,
134,C00000003-B001-3-kvar L1-JTVar,kvar,Sylfen L1 puissance reactive,,,
135,C00000003-B001-3-kvar L2-JTVar,kvar,Sylfen L2 puissance reactive,,,
136,C00000003-B001-3-kvar L3-JTVar,kvar,Sylfen L3 puissance reactive,,,
137,C00000003-B001-3-kvar sys-JTVar,kvar,Sylfen puissance reactive,,,
138,C00000003-B001-3-kWh (-)-JTWH,kWh,Sylfen quezaco3,,,
139,C00000003-B001-3-kvarh-JTVarH,kvarh,Sylfen quezaco4,,,
140,C00000004-A002-4-kVA L1-JTVA,kVA,Bureaux et communs administratif centraux rez de chaussée L1 puissance active,,,
141,C00000004-A002-4-kVA L2-JTVA,kVA,Bureaux et communs administratif centraux rez de chaussée L2 puissance active,,,
142,C00000004-A002-4-kVA L3-JTVA,kVA,Bureaux et communs administratif centraux rez de chaussée L3 puissance active,,,
143,C00000004-A002-4-kVA sys-JTVA,kVA,Bureaux et communs administratif centraux rez de chaussée puissance active,,,
144,C00000004-A002-4-kW L1-JTW,kW,Bureaux et communs administratif centraux rez de chaussée L1 puissance,,,
145,C00000004-A002-4-kW L2-JTW,kW,Bureaux et communs administratif centraux rez de chaussée L2 puissance,,,
146,C00000004-A002-4-kW L3-JTW,kW,Bureaux et communs administratif centraux rez de chaussée L3 puissance,,,
147,C00000004-A002-4-kW dmd-JTW,kW,Bureaux et communs administratif centraux rez de chaussée puissance demandée,,,
148,C00000004-A002-4-kW sys-JTW,kW,Bureaux et communs administratif centraux rez de chaussée puissance,,,
149,C00000004-A002-4-kWh (-)-JTWH,kWh,Bureaux et communs administratif centraux rez de chaussée quezaco2,,,
150,C00000004-A002-4-kWh L1-JTWH,kWh,Bureaux et communs administratif centraux rez de chaussée L1 energie,,,
151,C00000004-A002-4-kWh L2-JTWH,kWh,Bureaux et communs administratif centraux rez de chaussée L2 energie,,,
152,C00000004-A002-4-kWh L3-JTWH,kWh,Bureaux et communs administratif centraux rez de chaussée L3 energie,,,
153,C00000004-A002-4-kWh-JTWH,kWh,Bureaux et communs administratif centraux rez de chaussée energie,,,
154,C00000004-A002-4-kvar L1-JTVar,kvar,Bureaux et communs administratif centraux rez de chaussée L1 puissance reactive,,,
155,C00000004-A002-4-kvar L2-JTVar,kvar,Bureaux et communs administratif centraux rez de chaussée L2 puissance reactive,,,
156,C00000004-A002-4-kvar L3-JTVar,kvar,Bureaux et communs administratif centraux rez de chaussée L3 puissance reactive,,,
157,C00000004-A002-4-kvar sys-JTVar,kvar,Bureaux et communs administratif centraux rez de chaussée puissance reactive,,,
158,C00000004-A002-4-kWh (-)-JTWH,kWh,Bureaux et communs administratif centraux rez de chaussée quezaco3,,,
159,C00000004-A002-4-kvarh-JTVarH,kvarh,Bureaux et communs administratif centraux rez de chaussée quezaco4,,,
160,C00000005-A001-5-kVA L1-JTVA,kVA,"coffret ""local pompes"" L1 puissance active",,,
161,C00000005-A001-5-kVA L2-JTVA,kVA,"coffret ""local pompes"" L2 puissance active",,,
162,C00000005-A001-5-kVA L3-JTVA,kVA,"coffret ""local pompes"" L3 puissance active",,,
163,C00000005-A001-5-kVA sys-JTVA,kVA,"coffret ""local pompes"" puissance active",,,
164,C00000005-A001-5-kW L1-JTW,kW,"coffret ""local pompes"" L1 puissance",,,
165,C00000005-A001-5-kW L2-JTW,kW,"coffret ""local pompes"" L2 puissance",,,
166,C00000005-A001-5-kW L3-JTW,kW,"coffret ""local pompes"" L3 puissance",,,
167,C00000005-A001-5-kW dmd-JTW,kW,"coffret ""local pompes"" puissance demandée",,,
168,C00000005-A001-5-kW sys-JTW,kW,"coffret ""local pompes"" puissance",,,
169,C00000005-A001-5-kWh (-)-JTWH,kWh,"coffret ""local pompes"" quezaco2",,,
170,C00000005-A001-5-kWh L1-JTWH,kWh,"coffret ""local pompes"" L1 energie",,,
171,C00000005-A001-5-kWh L2-JTWH,kWh,"coffret ""local pompes"" L2 energie",,,
172,C00000005-A001-5-kWh L3-JTWH,kWh,"coffret ""local pompes"" L3 energie",,,
173,C00000005-A001-5-kWh-JTWH,kWh,"coffret ""local pompes"" energie",,,
174,C00000005-A001-5-kvar L1-JTVar,kvar,"coffret ""local pompes"" L1 puissance reactive",,,
175,C00000005-A001-5-kvar L2-JTVar,kvar,"coffret ""local pompes"" L2 puissance reactive",,,
176,C00000005-A001-5-kvar L3-JTVar,kvar,"coffret ""local pompes"" L3 puissance reactive",,,
177,C00000005-A001-5-kvar sys-JTVar,kvar,"coffret ""local pompes"" puissance reactive",,,
178,C00000005-A001-5-kWh (-)-JTWH,kWh,"coffret ""local pompes"" quezaco3",,,
179,C00000005-A001-5-kvarh-JTVarH,kvarh,"coffret ""local pompes"" quezaco4",,,
180,C00000006-B006-6-kVA L1-JTVA,kVA,Carrossier L1 puissance active,,,
181,C00000006-B006-6-kVA L2-JTVA,kVA,Carrossier L2 puissance active,,,
182,C00000006-B006-6-kVA L3-JTVA,kVA,Carrossier L3 puissance active,,,
183,C00000006-B006-6-kVA sys-JTVA,kVA,Carrossier puissance active,,,
184,C00000006-B006-6-kW L1-JTW,kW,Carrossier L1 puissance,,,
185,C00000006-B006-6-kW L2-JTW,kW,Carrossier L2 puissance,,,
186,C00000006-B006-6-kW L3-JTW,kW,Carrossier L3 puissance,,,
187,C00000006-B006-6-kW dmd-JTW,kW,Carrossier puissance demandée,,,
188,C00000006-B006-6-kW sys-JTW,kW,Carrossier puissance,,,
189,C00000006-B006-6-kWh (-)-JTWH,kWh,Carrossier quezaco2,,,
190,C00000006-B006-6-kWh L1-JTWH,kWh,Carrossier L1 energie,,,
191,C00000006-B006-6-kWh L2-JTWH,kWh,Carrossier L2 energie,,,
192,C00000006-B006-6-kWh L3-JTWH,kWh,Carrossier L3 energie,,,
193,C00000006-B006-6-kWh-JTWH,kWh,Carrossier energie,,,
194,C00000006-B006-6-kvar L1-JTVar,kvar,Carrossier L1 puissance reactive,,,
195,C00000006-B006-6-kvar L2-JTVar,kvar,Carrossier L2 puissance reactive,,,
196,C00000006-B006-6-kvar L3-JTVar,kvar,Carrossier L3 puissance reactive,,,
197,C00000006-B006-6-kvar sys-JTVar,kvar,Carrossier puissance reactive,,,
198,C00000006-B006-6-kWh (-)-JTWH,kWh,Carrossier quezaco3,,,
199,C00000006-B006-6-kvarh-JTVarH,kvarh,Carrossier quezaco4,,,
200,C00000007-B005-7-kVA L1-JTVA,kVA,Cascade L1 puissance active,,,
201,C00000007-B005-7-kVA L2-JTVA,kVA,Cascade L2 puissance active,,,
202,C00000007-B005-7-kVA L3-JTVA,kVA,Cascade L3 puissance active,,,
203,C00000007-B005-7-kVA sys-JTVA,kVA,Cascade puissance active,,,
204,C00000007-B005-7-kW L1-JTW,kW,Cascade L1 puissance,,,
205,C00000007-B005-7-kW L2-JTW,kW,Cascade L2 puissance,,,
206,C00000007-B005-7-kW L3-JTW,kW,Cascade L3 puissance,,,
207,C00000007-B005-7-kW dmd-JTW,kW,Cascade puissance demandée,,,
208,C00000007-B005-7-kW sys-JTW,kW,Cascade puissance,,,
209,C00000007-B005-7-kWh (-)-JTWH,kWh,Cascade quezaco2,,,
210,C00000007-B005-7-kWh L1-JTWH,kWh,Cascade L1 energie,,,
211,C00000007-B005-7-kWh L2-JTWH,kWh,Cascade L2 energie,,,
212,C00000007-B005-7-kWh L3-JTWH,kWh,Cascade L3 energie,,,
213,C00000007-B005-7-kWh-JTWH,kWh,Cascade energie,,,
214,C00000007-B005-7-kvar L1-JTVar,kvar,Cascade L1 puissance reactive,,,
215,C00000007-B005-7-kvar L2-JTVar,kvar,Cascade L2 puissance reactive,,,
216,C00000007-B005-7-kvar L3-JTVar,kvar,Cascade L3 puissance reactive,,,
217,C00000007-B005-7-kvar sys-JTVar,kvar,Cascade puissance reactive,,,
218,C00000007-B005-7-kWh (-)-JTWH,kWh,Cascade quezaco3,,,
219,C00000007-B005-7-kvarh-JTVarH,kvarh,Cascade quezaco4,,,
220,C00000008-B003-8-kVA L1-JTVA,kVA,K2M L1 puissance active,,,
221,C00000008-B003-8-kVA L2-JTVA,kVA,K2M L2 puissance active,,,
222,C00000008-B003-8-kVA L3-JTVA,kVA,K2M L3 puissance active,,,
223,C00000008-B003-8-kVA sys-JTVA,kVA,K2M puissance active,,,
224,C00000008-B003-8-kW L1-JTW,kW,K2M L1 puissance,,,
225,C00000008-B003-8-kW L2-JTW,kW,K2M L2 puissance,,,
226,C00000008-B003-8-kW L3-JTW,kW,K2M L3 puissance,,,
227,C00000008-B003-8-kW dmd-JTW,kW,K2M puissance demandée,,,
228,C00000008-B003-8-kW sys-JTW,kW,K2M puissance,,,
229,C00000008-B003-8-kWh (-)-JTWH,kWh,K2M quezaco2,,,
230,C00000008-B003-8-kWh L1-JTWH,kWh,K2M L1 energie,,,
231,C00000008-B003-8-kWh L2-JTWH,kWh,K2M L2 energie,,,
232,C00000008-B003-8-kWh L3-JTWH,kWh,K2M L3 energie,,,
233,C00000008-B003-8-kWh-JTWH,kWh,K2M energie,,,
234,C00000008-B003-8-kvar L1-JTVar,kvar,K2M L1 puissance reactive,,,
235,C00000008-B003-8-kvar L2-JTVar,kvar,K2M L2 puissance reactive,,,
236,C00000008-B003-8-kvar L3-JTVar,kvar,K2M L3 puissance reactive,,,
237,C00000008-B003-8-kvar sys-JTVar,kvar,K2M puissance reactive,,,
238,C00000008-B003-8-kWh (-)-JTWH,kWh,K2M quezaco3,,,
239,C00000008-B003-8-kvarh-JTVarH,kvarh,K2M quezaco4,,,
240,C00000009-A004-9-kVA L1-JTVA,kVA,Locaux sociaux de Sibuet L1 puissance active,,,
241,C00000009-A004-9-kVA L2-JTVA,kVA,Locaux sociaux de Sibuet L2 puissance active,,,
242,C00000009-A004-9-kVA L3-JTVA,kVA,Locaux sociaux de Sibuet L3 puissance active,,,
243,C00000009-A004-9-kVA sys-JTVA,kVA,Locaux sociaux de Sibuet puissance active,,,
244,C00000009-A004-9-kW L1-JTW,kW,Locaux sociaux de Sibuet L1 puissance,,,
245,C00000009-A004-9-kW L2-JTW,kW,Locaux sociaux de Sibuet L2 puissance,,,
246,C00000009-A004-9-kW L3-JTW,kW,Locaux sociaux de Sibuet L3 puissance,,,
247,C00000009-A004-9-kW dmd-JTW,kW,Locaux sociaux de Sibuet puissance demandée,,,
248,C00000009-A004-9-kW sys-JTW,kW,Locaux sociaux de Sibuet puissance,,,
249,C00000009-A004-9-kWh (-)-JTWH,kWh,Locaux sociaux de Sibuet quezaco2,,,
250,C00000009-A004-9-kWh L1-JTWH,kWh,Locaux sociaux de Sibuet L1 energie,,,
251,C00000009-A004-9-kWh L2-JTWH,kWh,Locaux sociaux de Sibuet L2 energie,,,
252,C00000009-A004-9-kWh L3-JTWH,kWh,Locaux sociaux de Sibuet L3 energie,,,
253,C00000009-A004-9-kWh-JTWH,kWh,Locaux sociaux de Sibuet energie,,,
254,C00000009-A004-9-kvar L1-JTVar,kvar,Locaux sociaux de Sibuet L1 puissance reactive,,,
255,C00000009-A004-9-kvar L2-JTVar,kvar,Locaux sociaux de Sibuet L2 puissance reactive,,,
256,C00000009-A004-9-kvar L3-JTVar,kvar,Locaux sociaux de Sibuet L3 puissance reactive,,,
257,C00000009-A004-9-kvar sys-JTVar,kvar,Locaux sociaux de Sibuet puissance reactive,,,
258,C00000009-A004-9-kWh (-)-JTWH,kWh,Locaux sociaux de Sibuet quezaco3,,,
259,C00000009-A004-9-kvarh-JTVarH,kvarh,Locaux sociaux de Sibuet quezaco4,,,
260,C00000010-EM_VIRTUAL-16-kVA L1-JTVA,kVA,Total puissance L1 puissance active,,,
261,C00000010-EM_VIRTUAL-16-kVA L2-JTVA,kVA,Total puissance L2 puissance active,,,
262,C00000010-EM_VIRTUAL-16-kVA L3-JTVA,kVA,Total puissance L3 puissance active,,,
263,C00000010-EM_VIRTUAL-16-kVA sys-JTVA,kVA,Total puissance puissance active,,,
264,C00000010-EM_VIRTUAL-16-kW L1-JTW,kW,Total puissance L1 puissance,,,
265,C00000010-EM_VIRTUAL-16-kW L2-JTW,kW,Total puissance L2 puissance,,,
266,C00000010-EM_VIRTUAL-16-kW L3-JTW,kW,Total puissance L3 puissance,,,
267,C00000010-EM_VIRTUAL-16-kW dmd-JTW,kW,Total puissance puissance demandée,,,
268,C00000010-EM_VIRTUAL-16-kW sys-JTW,kW,Total puissance puissance,,,
269,C00000010-EM_VIRTUAL-16-kWh (-)-JTWH,kWh,Total puissance quezaco2,,,
270,C00000010-EM_VIRTUAL-16-kWh L1-JTWH,kWh,Total puissance L1 energie,,,
271,C00000010-EM_VIRTUAL-16-kWh L2-JTWH,kWh,Total puissance L2 energie,,,
272,C00000010-EM_VIRTUAL-16-kWh L3-JTWH,kWh,Total puissance L3 energie,,,
273,C00000010-EM_VIRTUAL-16-kWh-JTWH,kWh,Total puissance energie,,,
274,C00000010-EM_VIRTUAL-16-kvar L1-JTVar,kvar,Total puissance L1 puissance reactive,,,
275,C00000010-EM_VIRTUAL-16-kvar L2-JTVar,kvar,Total puissance L2 puissance reactive,,,
276,C00000010-EM_VIRTUAL-16-kvar L3-JTVar,kvar,Total puissance L3 puissance reactive,,,
277,C00000010-EM_VIRTUAL-16-kvar sys-JTVar,kvar,Total puissance puissance reactive,,,
278,C00000010-EM_VIRTUAL-16-kWh (-)-JTWH,kWh,Total puissance quezaco3,,,
279,C00000010-EM_VIRTUAL-16-kvarh-JTVarH,kvarh,Total puissance quezaco4,,,
280,C0000000b-D001-11-kVA L1-JTVA,kVA,Clim Sweetair L1 puissance active,,,
281,C0000000b-D001-11-kVA L2-JTVA,kVA,Clim Sweetair L2 puissance active,,,
282,C0000000b-D001-11-kVA L3-JTVA,kVA,Clim Sweetair L3 puissance active,,,
283,C0000000b-D001-11-kVA sys-JTVA,kVA,Clim Sweetair puissance active,,,
284,C0000000b-D001-11-kW L1-JTW,kW,Clim Sweetair L1 puissance,,,
285,C0000000b-D001-11-kW L2-JTW,kW,Clim Sweetair L2 puissance,,,
286,C0000000b-D001-11-kW L3-JTW,kW,Clim Sweetair L3 puissance,,,
287,C0000000b-D001-11-kW dmd-JTW,kW,Clim Sweetair puissance demandée,,,
288,C0000000b-D001-11-kW sys-JTW,kW,Clim Sweetair puissance,,,
289,C0000000b-D001-11-kWh (-)-JTWH,kWh,Clim Sweetair quezaco2,,,
290,C0000000b-D001-11-kWh L1-JTWH,kWh,Clim Sweetair L1 energie,,,
291,C0000000b-D001-11-kWh L2-JTWH,kWh,Clim Sweetair L2 energie,,,
292,C0000000b-D001-11-kWh L3-JTWH,kWh,Clim Sweetair L3 energie,,,
