,TAG,UNITE,DESCRIPTION,MIN,MAX,TYPE
0,C0000000c-A005-12-kVA L1-JTVA,kVA,Poste de garde  L1 puissance active,,,
1,C0000000c-A005-12-kVA L2-JTVA,kVA,Poste de garde  L2 puissance active,,,
2,C0000000c-A005-12-kVA L3-JTVA,kVA,Poste de garde  L3 puissance active,,,
3,C0000000c-A005-12-kVA sys-JTVA,kVA,Poste de garde  puissance active,,,
4,C0000000c-A005-12-kW L1-JTW,kW,Poste de garde  L1 puissance,,,
5,C0000000c-A005-12-kW L2-JTW,kW,Poste de garde  L2 puissance,,,
6,C0000000c-A005-12-kW L3-JTW,kW,Poste de garde  L3 puissance,,,
7,C0000000c-A005-12-kW dmd-JTW,kW,Poste de garde  puissance demandée,,,
8,C0000000c-A005-12-kW sys-JTW,kW,Poste de garde  puissance,,,
9,C0000000c-A005-12-kWh (-)-JTWH,kWh,Poste de garde  quezaco2,,,
10,C0000000c-A005-12-kWh L1-JTWH,kWh,Poste de garde  L1 energie,,,
11,C0000000c-A005-12-kWh L2-JTWH,kWh,Poste de garde  L2 energie,,,
12,C0000000c-A005-12-kWh L3-JTWH,kWh,Poste de garde  L3 energie,,,
13,C0000000c-A005-12-kWh-JTWH,kWh,Poste de garde  energie,,,
14,C0000000c-A005-12-kvar L1-JTVar,kvar,Poste de garde  L1 puissance reactive,,,
15,C0000000c-A005-12-kvar L2-JTVar,kvar,Poste de garde  L2 puissance reactive,,,
16,C0000000c-A005-12-kvar L3-JTVar,kvar,Poste de garde  L3 puissance reactive,,,
17,C0000000c-A005-12-kvar sys-JTVar,kvar,Poste de garde  puissance reactive,,,
18,C0000000c-A005-12-kWh (-)-JTWH,kWh,Poste de garde  quezaco3,,,
19,C0000000c-A005-12-kvarh-JTVarH,kvarh,Poste de garde  quezaco4,,,
20,C0000000e-B002-14-kVA L1-JTVA,kVA,Auto passion L1 puissance active,,,
21,C0000000e-B002-14-kVA L2-JTVA,kVA,Auto passion L2 puissance active,,,
22,C0000000e-B002-14-kVA L3-JTVA,kVA,Auto passion L3 puissance active,,,
23,C0000000e-B002-14-kVA sys-JTVA,kVA,Auto passion puissance active,,,
24,C0000000e-B002-14-kW L1-JTW,kW,Auto passion L1 puissance,,,
25,C0000000e-B002-14-kW L2-JTW,kW,Auto passion L2 puissance,,,
26,C0000000e-B002-14-kW L3-JTW,kW,Auto passion L3 puissance,,,
27,C0000000e-B002-14-kW dmd-JTW,kW,Auto passion puissance demandée,,,
28,C0000000e-B002-14-kW sys-JTW,kW,Auto passion puissance,,,
29,C0000000e-B002-14-kWh (-)-JTWH,kWh,Auto passion quezaco2,,,
30,C0000000e-B002-14-kWh L1-JTWH,kWh,Auto passion L1 energie,,,
31,C0000000e-B002-14-kWh L2-JTWH,kWh,Auto passion L2 energie,,,
32,C0000000e-B002-14-kWh L3-JTWH,kWh,Auto passion L3 energie,,,
33,C0000000e-B002-14-kWh-JTWH,kWh,Auto passion energie,,,
34,C0000000e-B002-14-kvar L1-JTVar,kvar,Auto passion L1 puissance reactive,,,
35,C0000000e-B002-14-kvar L2-JTVar,kvar,Auto passion L2 puissance reactive,,,
36,C0000000e-B002-14-kvar L3-JTVar,kvar,Auto passion L3 puissance reactive,,,
37,C0000000e-B002-14-kvar sys-JTVar,kvar,Auto passion puissance reactive,,,
38,C0000000e-B002-14-kWh (-)-JTWH,kWh,Auto passion quezaco3,,,
39,C0000000e-B002-14-kvarh-JTVarH,kvarh,Auto passion quezaco4,,,
40,C0000000f-B004-15-kVA L1-JTVA,kVA,local W (Local à papier derrière Sylfen) + local Antoine L1 puissance active,,,
41,C0000000f-B004-15-kVA L2-JTVA,kVA,local W (Local à papier derrière Sylfen) + local Antoine L2 puissance active,,,
42,C0000000f-B004-15-kVA L3-JTVA,kVA,local W (Local à papier derrière Sylfen) + local Antoine L3 puissance active,,,
43,C0000000f-B004-15-kVA sys-JTVA,kVA,local W (Local à papier derrière Sylfen) + local Antoine puissance active,,,
44,C0000000f-B004-15-kW L1-JTW,kW,local W (Local à papier derrière Sylfen) + local Antoine L1 puissance,,,
45,C0000000f-B004-15-kW L2-JTW,kW,local W (Local à papier derrière Sylfen) + local Antoine L2 puissance,,,
46,C0000000f-B004-15-kW L3-JTW,kW,local W (Local à papier derrière Sylfen) + local Antoine L3 puissance,,,
47,C0000000f-B004-15-kW dmd-JTW,kW,local W (Local à papier derrière Sylfen) + local Antoine puissance demandée,,,
48,C0000000f-B004-15-kW sys-JTW,kW,local W (Local à papier derrière Sylfen) + local Antoine puissance,,,
49,C0000000f-B004-15-kWh (-)-JTWH,kWh,local W (Local à papier derrière Sylfen) + local Antoine quezaco2,,,
50,C0000000f-B004-15-kWh L1-JTWH,kWh,local W (Local à papier derrière Sylfen) + local Antoine L1 energie,,,
51,C0000000f-B004-15-kWh L2-JTWH,kWh,local W (Local à papier derrière Sylfen) + local Antoine L2 energie,,,
52,C0000000f-B004-15-kWh L3-JTWH,kWh,local W (Local à papier derrière Sylfen) + local Antoine L3 energie,,,
53,C0000000f-B004-15-kWh-JTWH,kWh,local W (Local à papier derrière Sylfen) + local Antoine energie,,,
54,C0000000f-B004-15-kvar L1-JTVar,kvar,local W (Local à papier derrière Sylfen) + local Antoine L1 puissance reactive,,,
55,C0000000f-B004-15-kvar L2-JTVar,kvar,local W (Local à papier derrière Sylfen) + local Antoine L2 puissance reactive,,,
56,C0000000f-B004-15-kvar L3-JTVar,kvar,local W (Local à papier derrière Sylfen) + local Antoine L3 puissance reactive,,,
57,C0000000f-B004-15-kvar sys-JTVar,kvar,local W (Local à papier derrière Sylfen) + local Antoine puissance reactive,,,
58,C0000000f-B004-15-kWh (-)-JTWH,kWh,local W (Local à papier derrière Sylfen) + local Antoine quezaco3,,,
59,C0000000f-B004-15-kvarh-JTVarH,kvarh,local W (Local à papier derrière Sylfen) + local Antoine quezaco4,,,
60,C0000000d-B008-13-kVA L1-JTVA,kVA,Atelier mécanique Cheylas L1 puissance active,,,
61,C0000000d-B008-13-kVA L2-JTVA,kVA,Atelier mécanique Cheylas L2 puissance active,,,
62,C0000000d-B008-13-kVA L3-JTVA,kVA,Atelier mécanique Cheylas L3 puissance active,,,
63,C0000000d-B008-13-kVA sys-JTVA,kVA,Atelier mécanique Cheylas puissance active,,,
64,C0000000d-B008-13-kW L1-JTW,kW,Atelier mécanique Cheylas L1 puissance,,,
65,C0000000d-B008-13-kW L2-JTW,kW,Atelier mécanique Cheylas L2 puissance,,,
66,C0000000d-B008-13-kW L3-JTW,kW,Atelier mécanique Cheylas L3 puissance,,,
67,C0000000d-B008-13-kW dmd-JTW,kW,Atelier mécanique Cheylas puissance demandée,,,
68,C0000000d-B008-13-kW sys-JTW,kW,Atelier mécanique Cheylas puissance,,,
69,C0000000d-B008-13-kWh (-)-JTWH,kWh,Atelier mécanique Cheylas quezaco2,,,
70,C0000000d-B008-13-kWh L1-JTWH,kWh,Atelier mécanique Cheylas L1 energie,,,
71,C0000000d-B008-13-kWh L2-JTWH,kWh,Atelier mécanique Cheylas L2 energie,,,
72,C0000000d-B008-13-kWh L3-JTWH,kWh,Atelier mécanique Cheylas L3 energie,,,
73,C0000000d-B008-13-kWh-JTWH,kWh,Atelier mécanique Cheylas energie,,,
74,C0000000d-B008-13-kvar L1-JTVar,kvar,Atelier mécanique Cheylas L1 puissance reactive,,,
75,C0000000d-B008-13-kvar L2-JTVar,kvar,Atelier mécanique Cheylas L2 puissance reactive,,,
76,C0000000d-B008-13-kvar L3-JTVar,kvar,Atelier mécanique Cheylas L3 puissance reactive,,,
77,C0000000d-B008-13-kvar sys-JTVar,kvar,Atelier mécanique Cheylas puissance reactive,,,
78,C0000000d-B008-13-kWh (-)-JTWH,kWh,Atelier mécanique Cheylas quezaco3,,,
79,C0000000d-B008-13-kvarh-JTVarH,kvarh,Atelier mécanique Cheylas quezaco4,,,
80,C00000001-A003-1-kVA L1-JTVA,kVA,Altitude commerciale (la conserverie) L1 puissance active,,,
81,C00000001-A003-1-kVA L2-JTVA,kVA,Altitude commerciale (la conserverie) L2 puissance active,,,
82,C00000001-A003-1-kVA L3-JTVA,kVA,Altitude commerciale (la conserverie) L3 puissance active,,,
83,C00000001-A003-1-kVA sys-JTVA,kVA,Altitude commerciale (la conserverie) puissance active,,,
